symbol,name,country,ipo_year,sector,industry
CPRT,Copart Inc. (DE) Common Stock,United States,1994,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CPRX,Catalyst Pharmaceuticals Inc. Common Stock,United States,2006,Health Care,Biotechnology: Pharmaceutical Preparations
CPT,Camden Property Trust Common Stock,United States,1993,Real Estate,Real Estate Investment Trusts
CPZ,Calamos Long/Short Equity & Dynamic Income Trust Common Stock,United States,2019,Finance,Trusts Except Educational Religious and Charitable
CQP,Cheniere Energy Partners LP Common Units,United States,2007,Utilities,Oil/Gas Transmission
CR,Crane Company Common Stock,United States,2023,Industrials,Metal Fabrications
CRAI,CRA International Inc. Common Stock,United States,1998,Consumer Discretionary,Other Consumer Services
CRBG,Corebridge Financial Inc. Common Stock,United States,2022,Finance,Life Insurance
CRC,California Resources Corporation Common Stock,United States,2020,Energy,Oil & Gas Production
CRCT,Cricut Inc. Class A Common Stock,United States,2021,Technology,Industrial Machinery/Components
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,United States,2022,Technology,Semiconductors
CRESW,Cresud S.A.C.I.F. y A. Warrant,Argentina,,Finance,Real Estate
CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares,Argentina,1997,Finance,Real Estate
CRGY,Crescent Energy Company Class A Common Stock,United States,2021,Energy,Oil & Gas Production
CRH,CRH PLC Ordinary Shares,Ireland,,Industrials,Building Materials
CRI,Carter's Inc. Common Stock,United States,2003,Consumer Discretionary,Apparel
CRK,Comstock Resources Inc. Common Stock,United States,,Energy,Oil & Gas Production
CRL,Charles River Laboratories International Inc. Common Stock,United States,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CRM,Salesforce Inc. Common Stock,United States,2004,Technology,Computer Software: Prepackaged Software
CRMD,CorMedix Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
CRMT,America's Car-Mart Inc Common Stock,United States,,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CRNC,Cerence Inc. Common Stock,United States,,Technology,Computer Software: Prepackaged Software
CRNX,Crinetics Pharmaceuticals Inc. Common Stock,United States,2018,Health Care,Biotechnology: Pharmaceutical Preparations
CRON,Cronos Group Inc. Common Share,Canada,,Health Care, Medicinal Chemicals and Botanical Products 
CROX,Crocs Inc. Common Stock,United States,2006,Consumer Discretionary,Shoe Manufacturing
CRS,Carpenter Technology Corporation Common Stock,United States,,Industrials,Steel/Iron Ore
CRSP,CRISPR Therapeutics AG Common Shares,Switzerland,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRSR,Corsair Gaming Inc. Common Stock,United States,2020,Technology,Computer peripheral equipment
CRTO,Criteo S.A. American Depositary Shares,France,2013,Consumer Discretionary,Advertising
CRUS,Cirrus Logic Inc. Common Stock,United States,1989,Technology,Semiconductors
CRVL,CorVel Corp. Common Stock,United States,,Finance,Specialty Insurers
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,United States,2019,Technology,Computer Software: Prepackaged Software
CSAN,Cosan S.A. ADS,Brazil,2021,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CSCO,Cisco Systems Inc. Common Stock (DE),United States,1990,Telecommunications,Computer Communications Equipment
CSGP,CoStar Group Inc. Common Stock,United States,1998,Consumer Discretionary,Business Services
CSGS,CSG Systems International Inc. Common Stock,United States,1996,Technology,EDP Services
CSIQ,Canadian Solar Inc. Common Shares (ON),Canada,2006,Technology,Semiconductors
CSL,Carlisle Companies Incorporated Common Stock,United States,,Industrials,Specialty Chemicals
CSQ,Calamos Strategic Total Return Common Stock,United States,2004,Finance,Finance Companies
CSR,D/B/A Centerspace Common Stock,United States,,Real Estate,Real Estate Investment Trusts
CSTL,Castle Biosciences Inc. Common Stock,United States,2019,Health Care,Medical Specialities
CSTM,Constellium SE Ordinary Shares (France),Netherlands,2013,Industrials,Metal Fabrications
CSV,Carriage Services Inc. Common Stock,United States,,Consumer Discretionary,Other Consumer Services
CSWC,Capital Southwest Corporation Common Stock,United States,,Consumer Discretionary,Textiles
CSWCZ,Capital Southwest Corporation 7.75% Notes due 2028,United States,,Finance,Finance Companies
CSWI,CSW Industrials Inc. Common Stock,United States,,Industrials,Home Furnishings
CSX,CSX Corporation Common Stock,United States,,Industrials,Railroads
CTAS,Cintas Corporation Common Stock,United States,1983,Consumer Discretionary,Apparel
CTBI,Community Trust Bancorp Inc. Common Stock,United States,,Finance,Major Banks
CTEV,Claritev Corporation Class A Common Stock,United States,2020,Consumer Discretionary,Business Services
CTKB,Cytek Biosciences Inc. Common Stock,United States,2021,Industrials,Biotechnology: Laboratory Analytical Instruments
CTLP,Cantaloupe Inc. Common Stock,United States,,Miscellaneous,Office Equipment/Supplies/Services
CTO,CTO Realty Growth Inc. Common Stock,United States,1992,Real Estate,Real Estate Investment Trusts
CTOS,Custom Truck One Source Inc. Common Stock,Cayman Islands,2017,Consumer Discretionary,Diversified Commercial Services
CTRA,Coterra Energy Inc. Common Stock,United States,,Energy,Oil & Gas Production
CTRE,CareTrust REIT Inc. Common Stock,United States,2022,Real Estate,Real Estate Investment Trusts
CTRI,Centuri Holdings Inc. Common Stock,,2024,Utilities,Oil & Gas Production
CTS,CTS Corporation Common Stock,United States,,Technology,Electrical Products
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,United States,1998,Technology,EDP Services
CTVA,Corteva Inc. Common Stock ,United States,2019,Consumer Staples,Farming/Seeds/Milling
CUB,Lionheart Holdings Class A Ordinary Shares,United States,2024,Industrials,Industrial Machinery/Components
CUBB,Customers Bancorp Inc 5.375% Subordinated Notes Due 2034,United States,2019,Finance,Major Banks
CUBE,CubeSmart Common Shares,United States,,Real Estate,Real Estate Investment Trusts
CUBI,Customers Bancorp Inc Common Stock,United States,,Finance,Major Banks
CUK,Carnival Plc ADS ADS,United States,,Consumer Discretionary,Marine Transportation
CURB,Curbline Properties Corp. Common Stock,United States,2024,Finance,Real Estate
CURV,Torrid Holdings Inc. Common Stock,,2021,Consumer Discretionary,Clothing/Shoe/Accessory Stores
CUZ,Cousins Properties Incorporated Common Stock,United States,,Real Estate,Real Estate Investment Trusts
CVAC,CureVac N.V. Ordinary Shares,Germany,2020,Health Care,Biotechnology: Pharmaceutical Preparations
CVBF,CVB Financial Corporation Common Stock,United States,,Finance,Major Banks
CVCO,Cavco Industries Inc. Common Stock When Issued,United States,,Consumer Discretionary,Homebuilding
CVE,Cenovus Energy Inc Common Stock,Canada,,Energy,Oil & Gas Production
CVEO,Civeo Corporation (Canada) Common Shares,,2014,Consumer Discretionary,Hotels/Resorts
CVGW,Calavo Growers Inc. Common Stock,United States,,Consumer Discretionary,Specialty Foods
CVI,CVR Energy Inc. Common Stock,United States,2007,Energy,Integrated oil Companies
CVLG,Covenant Logistics Group Inc. Class A Common Stock,United States,,Industrials,Trucking Freight/Courier Services
CVLT,Commvault Systems Inc. Common Stock,United States,2006,Technology,Computer Software: Prepackaged Software
CVNA,Carvana Co. Class A Common Stock,United States,2017,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CVRX,CVRx Inc. Common Stock,United States,2021,Health Care,Medical/Dental Instruments
CVS,CVS Health Corporation Common Stock,United States,,Consumer Staples,Retail-Drug Stores and Proprietary Stores
CVX,Chevron Corporation Common Stock,United States,,Energy,Integrated oil Companies
CW,Curtiss-Wright Corporation Common Stock,United States,,Technology,Industrial Machinery/Components
CWAN,Clearwater Analytics Holdings Inc. Class A Common Stock,United States,2021,Technology,Computer Software: Prepackaged Software
CWBC,Community West Bancshares Common Stock,United States,,Finance,Major Banks
CWCO,Consolidated Water Co. Ltd. Ordinary Shares,Cayman Islands,,Utilities,Water Supply
CWEN,Clearway Energy Inc. Class C Common Stock,United States,2015,Utilities,Electric Utilities: Central
CWH,Camping World Holdings Inc. Class A Common Stock,United States,2016,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CWK,Cushman & Wakefield plc Ordinary Shares,,2018,Finance,Real Estate
CWST,Casella Waste Systems Inc. Class A Common Stock,United States,1997,Utilities,Environmental Services
CWT,California Water Service Group Common Stock,United States,,Utilities,Water Supply
CX,Cemex S.A.B. de C.V. Sponsored ADR,Mexico,,Industrials,Building Materials
CXM,Sprinklr Inc. Class A Common Stock,United States,2021,Technology,Computer Software: Prepackaged Software
CXT,Crane NXT Co. Common Stock,United States,,Industrials,Metal Fabrications
CXW,CoreCivic Inc. Common Stock,United States,,Real Estate,Real Estate Investment Trusts
CYBR,CyberArk Software Ltd. Ordinary Shares,Israel,2014,Technology,Computer Software: Prepackaged Software
CYD,China Yuchai International Limited Common Stock,Singapore,1994,Industrials,Industrial Machinery/Components
CYH,Community Health Systems Inc. Common Stock,United States,2000,Health Care,Hospital/Nursing Management
CYTK,Cytokinetics Incorporated Common Stock,United States,2004,Health Care,Biotechnology: Pharmaceutical Preparations
CZNC,Citizens & Northern Corp Common Stock,United States,,Finance,Major Banks
CZR,Caesars Entertainment Inc. Common Stock,United States,,Consumer Discretionary,Hotels/Resorts
D,Dominion Energy Inc. Common Stock,United States,,Utilities,Electric Utilities: Central
DAC,Danaos Corporation Common Stock,Greece,2006,Consumer Discretionary,Marine Transportation
DADA,Dada Nexus Limited American Depositary Shares,China,2020,Technology,Computer Software: Programming Data Processing
DAKT,Daktronics Inc. Common Stock,United States,1994,Consumer Discretionary,Miscellaneous manufacturing industries
DAL,Delta Air Lines Inc. Common Stock,United States,,Consumer Discretionary,Air Freight/Delivery Services
DAN,Dana Incorporated Common Stock ,United States,,Consumer Discretionary,Auto Parts:O.E.M.
DAO,Youdao Inc. American Depositary Shares each representing one Class A Ordinary Share,China,2019,Real Estate,Other Consumer Services
DAR,Darling Ingredients Inc. Common Stock,United States,1997,Consumer Staples,Packaged Foods
DASH,DoorDash Inc. Class A Common Stock,United States,,Consumer Discretionary,Business Services
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),United Kingdom,2018,Technology,EDP Services
DAVE,Dave Inc. Class A Common Stock,United States,,Finance,Finance: Consumer Services
DAWN,Day One Biopharmaceuticals Inc. Common Stock,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
DAY,Dayforce Inc. Common Stock,United States,2018,Technology,Computer Software: Prepackaged Software
DB,Deutsche Bank AG Common Stock,Germany,,Finance,Major Banks
DBD,Diebold Nixdorf Incorporated Common stock,United States,2023,Miscellaneous,Office Equipment/Supplies/Services
DBRG,DigitalBridge Group Inc.,United States,2014,Real Estate,Real Estate Investment Trusts
DBX,Dropbox Inc. Class A Common Stock,United States,2018,Technology,Computer Software: Prepackaged Software
DCBO,Docebo Inc. Common Shares,Canada,,Technology,Computer Software: Prepackaged Software
DCGO,DocGo Inc. Common Stock,United States,2020,Health Care,Medical/Nursing Services
DCI,Donaldson Company Inc. Common Stock,United States,,Industrials,Pollution Control Equipment
DCO,Ducommun Incorporated Common Stock,United States,,Industrials,Military/Government/Technical
DCOM,Dime Community Bancshares Inc. Common Stock,United States,,Finance,Major Banks
DCOMG,Dime Community Bancshares Inc. 9.000% Fixed-to-Floating Rate Subordinated Notes due 2034,United States,,Finance,Major Banks
DCOMP,Dime Community Bancshares Inc. Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series A,United States,,Finance,Major Banks
DCTH,Delcath Systems Inc. Common Stock,United States,,Health Care,Medical/Dental Instruments
DD,DuPont de Nemours Inc. Common Stock,United States,2017,Industrials,Major Chemicals
DDD,3D Systems Corporation Common Stock,United States,,Technology,Computer Software: Prepackaged Software
DDI,DoubleDown Interactive Co. Ltd. American Depository Shares,South Korea,2021,Technology,EDP Services
DDL,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares),Cayman Islands,2021,Consumer Discretionary,Catalog/Specialty Distribution
DDOG,Datadog Inc. Class A Common Stock,United States,2019,Technology,Computer Software: Prepackaged Software
DDS,Dillard's Inc. Common Stock,United States,,Consumer Discretionary,Department/Specialty Retail Stores
DDT,Dillard's Capital Trust I,United States,,Consumer Discretionary,Department/Specialty Retail Stores
DE,Deere & Company Common Stock,United States,,Industrials,Industrial Machinery/Components
DEA,Easterly Government Properties Inc. Common Stock,United States,2015,Real Estate,Real Estate Investment Trusts
DEC,Diversified Energy Company plc Ordinary Shares,,,,
DECK,Deckers Outdoor Corporation Common Stock,United States,1993,Consumer Discretionary,Shoe Manufacturing
DEI,Douglas Emmett Inc. Common Stock,United States,2006,Real Estate,Real Estate Investment Trusts
DELL,Dell Technologies Inc. Class C Common Stock ,United States,2018,Technology,Computer Manufacturing
DEO,Diageo plc Common Stock,United Kingdom,,Consumer Staples,Beverages (Production/Distribution)
DESP,Despegar.com Corp. Ordinary Shares,Argentina,2017,Consumer Discretionary,Transportation Services
DFH,Dream Finders Homes Inc. Class A Common Stock,United States,2022,Consumer Discretionary,Homebuilding
DFIN,Donnelley Financial Solutions Inc. Common Stock ,United States,2016,Consumer Discretionary,Other Consumer Services
DFS,Discover Financial Services Common Stock,United States,,Finance,Finance: Consumer Services
DG,Dollar General Corporation Common Stock,United States,2009,Consumer Discretionary,Department/Specialty Retail Stores
DGICA,Donegal Group Inc. Class A Common Stock,United States,,Finance,Property-Casualty Insurers
DGICB,Donegal Group Inc. Class B Common Stock,United States,1986,Finance,Property-Casualty Insurers
DGII,Digi International Inc. Common Stock,United States,1989,Telecommunications,Computer Communications Equipment
DGNX,Diginex Limited Ordinary Shares,Hong Kong,2025,Technology,EDP Services
DGX,Quest Diagnostics Incorporated Common Stock,United States,,Health Care,Medical Specialities
DH,Definitive Healthcare Corp. Class A Common Stock,United States,2021,Technology,Computer Software: Prepackaged Software
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,United States,,Real Estate,Real Estate Investment Trusts
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,United States,,Real Estate,Real Estate Investment Trusts
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,United States,,Real Estate,Real Estate Investment Trusts
DHI,D.R. Horton Inc. Common Stock,United States,,Consumer Discretionary,Homebuilding
DHIL,Diamond Hill Investment Group Inc. Class A Common Stock,United States,,Finance,Investment Managers
DHR,Danaher Corporation Common Stock,United States,,Industrials,Industrial Machinery/Components
DHT,DHT Holdings Inc.,Jersey,2005,Consumer Discretionary,Marine Transportation
DIN,Dine Brands Global Inc. Common Stock,United States,,Consumer Discretionary,Restaurants
DINO,HF Sinclair Corporation Common Stock,United States,1960,Energy,Natural Gas Distribution
DIOD,Diodes Incorporated Common Stock,United States,,Technology,Semiconductors
DIS,Walt Disney Company (The) Common Stock,United States,,Consumer Discretionary,Services-Misc. Amusement & Recreation
DJCO,Daily Journal Corp. (S.C.) Common Stock,United States,,Consumer Discretionary,Newspapers/Magazines
DJT,Trump Media & Technology Group Corp. Common Stock,United States,2024,Technology,Computer Software: Programming Data Processing
DJTWW,Trump Media & Technology Group Corp. Warrants,United States,2021,Technology,Computer Software: Programming Data Processing
DK,Delek US Holdings Inc. Common Stock,United States,2017,Energy,Integrated oil Companies
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,United States,2012,Energy,Natural Gas Distribution
DKNG,DraftKings Inc. Class A Common Stock,United States,2019,Consumer Discretionary,Services-Misc. Amusement & Recreation
DKS,Dick's Sporting Goods Inc Common Stock,United States,2002,Consumer Discretionary,Other Specialty Stores
DLB,Dolby Laboratories Common Stock,United States,2005,Miscellaneous,Multi-Sector Companies
DLO,DLocal Limited Class A Common Shares,Uruguay,2021,Consumer Discretionary,Business Services
DLR,Digital Realty Trust Inc. Common Stock,United States,2004,Real Estate,Real Estate Investment Trusts
DLTR,Dollar Tree Inc. Common Stock,United States,1995,Consumer Discretionary,Department/Specialty Retail Stores
DLX,Deluxe Corporation Common Stock,United States,,Consumer Discretionary,Publishing
DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,United States,2020,Finance,Investment Managers
DMF,BNY Mellon Municipal Income Inc. Common Stock,United States,1988,Finance,Finance/Investors Services
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,United States,,Energy,Oil & Gas Production
DMRC,Digimarc Corporation Common Stock,United States,,Technology,EDP Services
DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock,United States,2021,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNB,Dun & Bradstreet Holdings Inc. Common Stock,United States,2020,Finance,Finance: Consumer Services
DNLI,Denali Therapeutics Inc. Common Stock,United States,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNN,Denison Mines Corp Ordinary Shares (Canada),Canada,,Basic Materials,Other Metals and Minerals
DNOW,DNOW Inc. Common Stock,United States,2014,Industrials,Metal Fabrications
DNTH,Dianthus Therapeutics Inc. Common Stock,United States,2018,Health Care,Biotechnology: Pharmaceutical Preparations
DNUT,Krispy Kreme Inc. Common Stock,United States,2021,Consumer Staples,Food Chains
DOC,Healthpeak Properties Inc. Common Stock,United States,,Real Estate,Real Estate Investment Trusts
DOCN,DigitalOcean Holdings Inc. Common Stock,United States,2021,Technology,Computer Software: Programming Data Processing
DOCS,Doximity Inc. Class A Common Stock,United States,2021,Technology,EDP Services
DOCU,DocuSign Inc. Common Stock,United States,1989,Technology,Computer Software: Prepackaged Software
DOGZ,Dogness (International) Corporation Class A Common Stock,China,2017,Consumer Discretionary,Miscellaneous manufacturing industries
DOLE,Dole plc Ordinary Shares,Ireland,2021,Consumer Staples,Farming/Seeds/Milling
DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares,Canada,,Consumer Discretionary,Industrial Specialties
DORM,Dorman Products Inc. Common Stock,United States,,Consumer Discretionary,Auto Parts:O.E.M.
DOV,Dover Corporation Common Stock,United States,,Industrials,Industrial Machinery/Components
DOW,Dow Inc. Common Stock ,United States,2019,Industrials,Major Chemicals
DOX,Amdocs Limited Ordinary Shares,Guernsey,,Technology,EDP Services
DPZ,Domino's Pizza Inc Common Stock,United States,2004,Consumer Discretionary,Food Distributors
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,China,2010,Technology,Semiconductors
DRD,DRDGOLD Limited American Depositary Shares,South Africa,,Basic Materials,Precious Metals
DRH,Diamondrock Hospitality Company Common Stock,United States,2005,Real Estate,Real Estate Investment Trusts
DRI,Darden Restaurants Inc. Common Stock,United States,,Consumer Discretionary,Restaurants
DRS,Leonardo DRS Inc. Common Stock,Israel,,Industrials,Industrial Machinery/Components
DRVN,Driven Brands Holdings Inc. Common Stock,United States,2021,Consumer Discretionary,Automotive Aftermarket
DSGR,Distribution Solutions Group Inc. Common Stock,United States,,Consumer Discretionary,Industrial Specialties
DSGX,Descartes Systems Group Inc. (The) Common Stock,Canada,,Technology,Computer Software: Prepackaged Software
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,United States,2013,Finance,Trusts Except Educational Religious and Charitable
DSP,Viant Technology Inc. Class A Common Stock,United States,2021,Technology,Computer Software: Programming Data Processing
DT,Dynatrace Inc. Common Stock,United States,2019,Technology,Computer Software: Prepackaged Software
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,United States,2020,Utilities,Electric Utilities: Central
DTE,DTE Energy Company Common Stock,United States,,Utilities,Electric Utilities: Central
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,United States,2021,Utilities,Electric Utilities: Central
DTM,DT Midstream Inc. Common Stock ,United States,2021,Utilities,Natural Gas Distribution
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,United States,2017,Utilities,Electric Utilities: Central
DUK,Duke Energy Corporation (Holding Company) Common Stock,United States,,Utilities,Power Generation
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,United States,2018,Utilities,Power Generation
DUOL,Duolingo Inc. Class A Common Stock,United States,2021,Technology,Computer Software: Prepackaged Software
DV,DoubleVerify Holdings Inc. Common Stock,United States,2021,Technology,Computer Software: Programming Data Processing
DVA,DaVita Inc. Common Stock,United States,,Health Care,Misc Health and Biotechnology Services
DVAX,Dynavax Technologies Corporation Common Stock,United States,2004,Health Care,Biotechnology: Pharmaceutical Preparations
DVN,Devon Energy Corporation Common Stock,United States,1985,Energy,Oil & Gas Production
DX,Dynex Capital Inc. Common Stock,United States,,Real Estate,Real Estate Investment Trusts
DXC,DXC Technology Company Common Stock ,United States,,Technology,EDP Services
DXCM,DexCom Inc. Common Stock,United States,2005,Health Care,Medical/Dental Instruments
DXPE,DXP Enterprises Inc. Common Stock,United States,,Industrials,Industrial Machinery/Components
DY,Dycom Industries Inc. Common Stock,United States,,Industrials,Water Sewer Pipeline Comm & Power Line Construction
DYN,Dyne Therapeutics Inc. Common Stock,United States,2020,Health Care,Biotechnology: Pharmaceutical Preparations
E,ENI S.p.A. Common Stock,Italy,,Energy,Oil & Gas Production
EA,Electronic Arts Inc. Common Stock,United States,,Technology,Computer Software: Prepackaged Software
EAF,GrafTech International Ltd. Common Stock,United States,2018,Energy,Industrial Machinery/Components
EAI,Entergy Arkansas LLC First Mortgage Bonds 4.875% Series Due September 1 2066,United States,2016,Utilities,Electric Utilities: Central
EAT,Brinker International Inc. Common Stock,United States,,Consumer Discretionary,Restaurants
EBAY,eBay Inc. Common Stock,United States,1998,Consumer Discretionary,Business Services
EBC,Eastern Bankshares Inc. Common Stock,United States,2020,Finance,Savings Institutions
EBF,Ennis Inc. Common Stock,United States,,Consumer Discretionary,Office Equipment/Supplies/Services
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),Brazil,2016,Utilities,Electric Utilities: Central
